,Rent_Date,STA_LOC,Rent_Count,Yr_Mth,JIJACE_NM,ACC_CNT
333,2019-02-01,노원구,22572.0,2019-02-01 00:00:00,노원구,3.0
334,2019-02-01,도봉구,16493.0,2019-02-01 00:00:00,도봉구,3.0
335,2019-02-01,동대문구,13422.0,2019-02-01 00:00:00,동대문구,3.0
336,2019-02-01,동작구,7362.0,2019-02-01 00:00:00,동작구,3.0
337,2019-02-01,마포구,17331.0,2019-02-01 00:00:00,마포구,1.0
338,2019-02-01,서대문구,21670.0,2019-02-01 00:00:00,서대문구,1.0
339,2019-02-01,서초구,26334.0,0,0,0.0
340,2019-02-01,성동구,14278.0,2019-02-01 00:00:00,성동구,4.0
341,2019-02-01,성북구,19447.0,0,0,0.0
342,2019-02-01,송파구,35415.0,2019-02-01 00:00:00,송파구,9.0
343,2019-02-01,양천구,16193.0,2019-02-01 00:00:00,양천구,2.0
344,2019-02-01,영등포구,17077.0,2019-02-01 00:00:00,영등포구,6.0
345,2019-02-01,용산구,18298.0,0,0,0.0
346,2019-02-01,은평구,9792.0,2019-02-01 00:00:00,은평구,6.0
347,2019-02-01,종로구,24859.0,2019-02-01 00:00:00,종로구,1.0
348,2019-02-01,중구,18718.0,2019-02-01 00:00:00,중구,1.0
349,2019-02-01,중랑구,12587.0,2019-02-01 00:00:00,중랑구,4.0
350,2019-03-01,강남구,39238.0,2019-03-01 00:00:00,강남구,5.0
351,2019-03-01,강동구,27845.0,2019-03-01 00:00:00,강동구,3.0
352,2019-03-01,강북구,24721.0,2019-03-01 00:00:00,강북구,3.0
353,2019-03-01,강서구,54538.0,2019-03-01 00:00:00,강서구,2.0
354,2019-03-01,관악구,20997.0,2019-03-01 00:00:00,관악구,1.0
